nome_do_curso,carga_horaria_do_curso,eixo_tecnologico,fator_de_esforco_de_curso,tipo_de_curso,turno,codigo_sistec,categoria_de_situacao,data_de_inicio_do_ciclo,data_de_fim_previsto_do_ciclo,vagas_ofertadas,mes_de_ocorrencia_da_situacao,renda,sexo,faixa_etaria,idade,cor,unidade_de_ensino,delta_days,delta_days_ocorrencia
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2019-08-26,2024-08-26,41.0,2021-01-01,"0,5<RFP<=1,0",F,20-24,24,parda    ,Campus João Pessoa,1827,494
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2019-08-26,2024-08-26,41.0,2021-01-01,"0,5<RFP<=1,0",M,20-24,23,branca   ,Campus João Pessoa,1827,494
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2019-08-26,2024-08-26,41.0,2021-01-01,"RFP>3,5",M,20-24,21,parda    ,Campus João Pessoa,1827,494
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2019-08-26,2024-08-26,41.0,2021-01-01,"0<RFP<=0,5",M,15-19,19,branca   ,Campus João Pessoa,1827,494
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2019-08-26,2024-08-26,41.0,2021-01-01,"0<RFP<=0,5",M,15-19,19,branca   ,Campus João Pessoa,1827,494
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2019-08-26,2024-08-26,41.0,2021-01-01,"0<RFP<=0,5",M,20-24,21,parda    ,Campus João Pessoa,1827,494
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2019-08-26,2024-08-26,41.0,2021-01-01,"0<RFP<=0,5",F,20-24,24,preta    ,Campus João Pessoa,1827,494
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2019-08-26,2024-08-26,41.0,2021-01-01,"0,5<RFP<=1,0",M,30-34,30,parda    ,Campus João Pessoa,1827,494
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2019-08-26,2024-08-26,41.0,2021-01-01,"0,5<RFP<=1,0",M,20-24,23,parda    ,Campus João Pessoa,1827,494
engenharia mecanica,4147,controle e processos industriais,1.07,bacharelado,integral,2809,E,2020-10-02,2025-10-02,39.0,2021-01-03,"0,5<RFP<=1,0",F,25-29,28,parda    ,Campus João Pessoa,1826,93
